User Identity,Story
(U1) 小孩在騎自行車,1. 穿著黑色衣服，沒有帶任何背包。2. 自己一個人騎著，周圍沒看到父母。3. 感覺喜歡觀察，因為騎車時不時會看在行走的人對話。4. 然後騎著的腳踏車是比較矮小的。5. 騎著騎著會往前看是否有外出的行人，要經過時會往右靠了。6. 感覺很隨性也很熟悉這條路。
(U2) 一對情侶,1. 和她的男朋友牽著手，另一手在滑手機。2. 感覺是已經徒步完要離開了。3. 一直低頭看手機，然後邊說話。4. 是不是會把一直掉落的頭髮別在耳後。5. 時不時會擦眼睛和扭頭過來的男朋友說話。6. 和他的男朋友走路非常緩慢，不急不躁地。7. 周圍有個人站著低頭看著手機皺眉。8. 那個周圍的人像遇到問題也有可能是在思考。9. 然後越走越遠了，看背影的氛圍感覺是快樂的。
(U3) 一位和朋友一起坐在長凳上和路過的人,1. 和她的朋友坐在長凳上，一邊拿著手機。2. 一個人等著，行走在人行道上，一下子拿著布口袋一邊拿著手機、抬頭左右看了看像在找朋友，隨後和她的朋友。3. 看了手機然後笑了笑，扭頭給朋友看手機。4. 感覺和朋友在分享故事，然後在樹下涼快。5. 旁邊有騎腳踏車的小孩左右看，腳踏車速度不快經過。6. 之後和朋友就離開了，應該是要去吃晚飯了。7. 和朋友就邊走邊說話前進。
(U4) 一位約60歲在公園聊天的長者,1. 將桌子上的黑色水壺拿起，手握著水壺，放入涼亭的透明塑膠袋中，之後用目光查看著塑膠袋的水壺位置。2. 正向對面桌子，雙手可能疊著或交叉（在後方又在桌子，觀察不實質細節），站在涼亭等著幾秒鐘，然後沿路走回原本的位置。3. 從桌上拿起水杯，將水杯舉到嘴邊喝水，過程會抬頭起。4. 從桌面上拿出一支香菸及打火機，點燃香菸後開始吸菸，手部動作可見，香菸持續燃燒，煙霧可見。5. 將看起來像手機的黑色反光物品從桌面拿起，放到座位旁邊的空位，靠近桌邊塑膠袋的位置。6. 將手放在太陽穴上，手肘支撐在桌面或椅子上，保持支撐姿勢，或眼睛微閉或向旁看。7. 將右手中香菸輕輕抖幾下，煙灰掉落到地板上。8. 將雙腳抬起並放在石椅上，腳掌接觸檯面，雙膝略微彎曲，呈現蹲姿。9. 將右手抬起靠近頭部，停留約一秒後向側面揮動數下。10. 變更坐位起身，右手拿著一個透明塑膠袋，步法緩慢地往外走，手部自然晃動，袋子隨動作輕微搖擺。
(U5) 一位約60歲在公園玩牌的長者,1. 將桌上的牌數起來，雙手將牌散在桌面的多個聚集點中成一疊，最終將牌細讀起來放在桌面上面。2. 將桌子上面的牌以圓形箭頭遷移一整圈，手指驅動到每一張牌，整個動作持續數秒。3. 拿著一疊牌，用雙手調整牌的前後順序，視線固定在牌義上，手部動作連著。4. 將手中的某一張牌向桌子中央推出，牌面朝上，同時用手指輕點桌面三下。5. 將手中的牌多次抽出又放回，動作重複進行數次，每次間隔短暫。6. 全神貫注地看著桌面上的牌具，雙眼固定在牌面上，眉儀細微移動或晃動。7. 看著手中的牌，想著如何解決目前的局勢或可以發現最近決定一些重要的事情格式內容，對面桌的人正在他手持疊子牌。8. 將桌上的所有牌集中到手邊，並一次性全部拿在手中，雙手包圍著疊牌。9. 將右腳抬起並交疊在另一條腿上，腳掌懸空，觀察牌持續維持姿勢數秒以上。10. 將視線轉向我大致上的方向，似乎再查看我所在的涼亭，但不呈銳利感。
(U6) 一位約70歲在公園運動的長者,1. 用藍色蓋子的透明塑膠水壺拿在手中，用手指握住瓶身，另一手旋轉瓶蓋直到完全鎖緊。2. 附近傳出明顯鞭炮聲，抬頭觀看了幾秒後，轉向身旁的丈夫並以口頭方式告知鞭炮聲。3. 與其丈夫交談，波瀾關於練習的順序，句子中提及「倒垃圾」等詞彙。4. 由於附近的鄰居發出的聲響，視覺轉向不同遠處的兩側，持續注視其動作數秒。5. 將頭轉向涼亭外方向，視線停留在一處桌，身體姿勢放鬆，沒有明顯動作變化。6. 從原本的位置起身，慢條斯理地另一邊涼亭，步法正常且緩慢地移動，使用兩支拐杖，兩手各持一支。7. 面向我並詢問是否為台南二中學生，語氣中帶有確認語調，眼神停留在我身上。8. 對丈夫提問「成功大學是不是在附近」，語氣不是很有把握。9. 開口詢問我「今天不是假日嗎？為什麼還在這邊讀書？」語氣輕鬆，帶一點友善卻不真誠。10. 坐在公園的長凳上，與丈夫坐在旁邊，對面坐著另一人，持著對話。
(U7) 剛放學的南二中同學和他的朋友們,1. 和他的朋友們一邊過馬路一邊看手機。2. 和朋友們走往的方向是公車站（往火車站方向）。3. 途中看起來心情很好，有說有笑。4. 的同學時不時會模仿手機上短片內容，引三人大笑。5. 到公車站後自成一小群一起等公車。6. 和其他同學抱怨即將到來的段考，並討論晚餐等其他瑣事。7. 應該是待會要和兩位同學一起去補習班上課，有些許抱怨。8. 的朋友似乎對於剛剛手機上的短片意猶未盡，其中一位同學仍在模仿。9. 似乎手機沒電，詢問朋友是否有行動電源。10. 之後和其他二人一起上了6號公車離開。
(U8) 穿便服的大學生,1. 自己一個人在人行道上行走，似乎很專注在自己的手機上。2. 是學生年紀，但在放學時間穿著便服，推測應該為大學生。3. 的手機畫面似乎是遊戲，臉上沒有明顯笑容，反而是很認真的樣子。4. 約保持此狀態15分鐘左右後便開始有切畫面的動作，似乎是聊天軟體。5. 開始在聊天軟體與遊戲畫面之間來回切換，且有頻繁打字動作。6. 似乎已經在此使用手機一段時間，從背包裡面拿出行動電源進行充電。7. 有感覺開始打字後，心情有明顯波動，有時會露出微笑。8. 過了一陣子後就往車站方向斑馬線離開台南公園。
(U9) 在對象方向等公車的,1. 的身材較為肥胖，且推測剛進行運動完，身上明顯仍在大量出汗。2. 走進公車站之後停下，往此方向公車推測是要回家。3. 時不時會拿起自己衣服擺尾，試圖讓自己涼爽一些。4. 旁觀的人很多，似乎感到一些焦慮，每隔幾分鐘會一邊張望一邊東西望。5. 的水壺已經沒有水了，但仍將瓶口打開嘗試喝下坪內僅剩的幾滴水。6. 開始拿起手機，猜測是打發時間或是緩解焦慮。7. 臉上明顯透露出不耐煩，並且手機上開啟大台南公車app，在看公車還有多久的進站時間。8. 的出汗現象沒有明顯改善，可能是車站人很多，也可能其本身就比較容易出汗體質。9. 並沒有搭上進站的6號公車，反而是在疏通車流後一自往乘車方向望去。10. 在大量學生上車後，情緒似乎較為緩和，開始專注在手機上。11. 最終在下一輛公車進站後搭車離去。
(U10) 在公園玩耍的小孩,1. 跑在家長前面，看起來急著去找遊樂設施。2. 去玩站立滑索，有家長協助上去後溜到對面。3. 與其他小孩互相追逐。4. 跑上溜滑梯後溜下來。
