編號,幫助誰 (使用者),在什麼樣的時空背景 (人/事/時/地/物),設法解決 (的問題)
1,楊子萱,手機沒有電的時候,提供安全不複雜的戶外充電方式，讓她可以不被電力綁架？
2,楊子萱,下大雨的時候,讓她有一個不會濕掉的地方可以躲雨？
3,楊子萱,朋友群訊息爆量,我們如何設計能讓人短暫停下回訊息、不影響人流、又不造成視線壓力的小節點？
4,楊子萱,不想要在家，又覺得在咖啡廳有消費壓力時。,讓她找到一個可以舒服度過時間的第三空間？
5,楊子萱,附近有人經過、視線不舒服,如何以座位角度、背靠與微邊界，給她一個隱私
6,楊子萱,炎熱天氣下手機變燙,設計自然的遮蔭通風道設計，讓手機可以「涼快」，不只是靠降低亮度。
7,楊子萱,公園太吵，內容被迫中斷,設法分隔「安靜區」與「運動區」
8,楊子萱,短暫離開去洗手間或散步時會擔心她的數位設備或包包,設置一種可以讓她放心的櫃子
9,楊子萱,在公園使用手機時感覺被旁人觀察的時候,讓設施使用者自行調整隱私程度，又不會影響公共使用性質？
10,楊子萱,想安靜滑手機但椅子不舒服,重新設計座位，看是否能支援「沉浸式使用手機」的姿勢，而不只是一般的休息姿勢。
11,楊子萱,對空間使用沒有可控性，時常位置會被佔走,讓她在不與人交談的情況下，能預約公園中隱蔽且有充電的特定座椅或小空間
12,楊子萱,在認真的時候他人沒有默契保持安靜,看要怎麼鼓勵所有進入該區域的人維持低語或靜默，避免不當的打擾
